CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO,INVENTORY_ID,COMPANY_NAME,PACKAGE_ID
e4823506-d8da-4145-b000-70e04932a93a,8910300000001598012,DATA,2023-05-26T02:53:16.000Z,2023-05-26T02:58:21.000Z,5695,,,,HND,Honduras,708,001,22,234104099119016,47772,CLIENTE B,
a8e79cd9-05a1-45c3-b966-63fccf006e33,8910300000001598491,DATA,2023-05-26T01:33:21.000Z,2023-05-26T02:58:23.000Z,30483,,,,GTM,Guatemala,704,02,22,234104099119495,47772,CLIENTE B,
ff33b1d4-1b2d-4316-b658-e0709f8f2b0d,8910300000001598458,DATA,2023-05-26T01:26:54.000Z,2023-05-26T02:58:49.000Z,4028,,,,HND,Honduras,708,001,22,234104099119462,47772,CLIENTE B,
a5e40d98-5bf5-49df-b6ba-9d4349ca34fd,8910300000001820506,DATA,2023-05-26T02:55:52.000Z,2023-05-26T03:01:14.000Z,3456,,,,HND,Honduras,708,001,22,234104099165430,47772,CLIENTE B,
0989e012-3932-43e4-8175-74c89d99337a,8910300000001597941,DATA,2023-05-26T02:48:43.000Z,2023-05-26T03:00:56.000Z,1192,,,,HND,Honduras,708,001,22,234104099118945,47772,CLIENTE B,
6d108fc8-6f47-4fb5-8469-60e808a72bd3,8910300000001820494,DATA,2023-05-26T02:56:23.000Z,2023-05-26T03:01:54.000Z,36408,,,,HND,Honduras,708,001,22,234104099165418,47772,CLIENTE B,
f3d1b98c-2f93-495e-aba2-9b86f780efae,8910300000001820531,DATA,2023-05-26T02:53:43.000Z,2023-05-26T03:02:07.000Z,2440,,,,HND,Honduras,708,001,22,234104099165455,47772,CLIENTE B,
bc875dc8-956e-45ad-abac-1a111ee7992c,8910300000001820530,DATA,2023-05-26T02:12:54.000Z,2023-05-26T03:02:20.000Z,4268,,,,HND,Honduras,708,001,22,234104099165454,47772,CLIENTE B,
2c158d16-8a90-4c25-af95-59bf7d44bba6,8910300000001598424,DATA,2023-05-26T02:37:16.000Z,2023-05-26T03:02:41.000Z,17052,,,,NIC,Nicaragua,710,300,22,234104099119428,47772,CLIENTE B,
e49d0828-1503-4c7e-9715-50a03de6fa28,8910300000001598014,DATA,2023-05-26T02:48:17.000Z,2023-05-26T03:02:46.000Z,3149,,,,HND,Honduras,708,001,22,234104099119018,47772,CLIENTE B,
364c8049-9b9e-4848-a32b-13c4c653d05a,8910300000001820491,DATA,2023-05-26T02:21:46.000Z,2023-05-26T03:03:02.000Z,8534,,,,HND,Honduras,708,001,22,234104099165415,47772,CLIENTE B,
b4f8e6d5-3479-49a2-888a-516b85928a4e,8910300000001820513,DATA,2023-05-25T19:03:07.000Z,2023-05-26T03:03:09.000Z,35648,,,,HND,Honduras,708,001,22,234104099165437,47772,CLIENTE B,
a1c2fba6-10da-41c4-af08-1612e0a2893b,8910300000001597986,DATA,2023-05-26T02:56:01.000Z,2023-05-26T03:03:14.000Z,1010,,,,HND,Honduras,708,001,22,234104099118990,47772,CLIENTE B,
479decdb-f711-4669-829b-c678cc841d4b,8910300000001820603,DATA,2023-05-26T02:25:21.000Z,2023-05-26T03:03:17.000Z,2370,,,,HND,Honduras,708,001,22,234104099165527,47772,CLIENTE B,
b56626a1-4eb7-42f1-affa-ca0655c1fa14,8910300000001820508,DATA,2023-05-26T02:56:04.000Z,2023-05-26T03:03:18.000Z,1010,,,,HND,Honduras,708,001,22,234104099165432,47772,CLIENTE B,
8515a3a4-b0c7-4c94-9f40-95898d2d21b6,8910300000001820495,DATA,2023-05-26T02:56:06.000Z,2023-05-26T03:03:25.000Z,943,,,,HND,Honduras,708,001,22,234104099165419,47772,CLIENTE B,
bfe9d6a3-76ea-45d6-be44-e275313cd3bd,8910300000001597937,DATA,2023-05-26T02:56:28.000Z,2023-05-26T03:03:41.000Z,943,,,,HND,Honduras,708,001,22,234104099118941,47772,CLIENTE B,
1e2af062-99e4-4b92-b349-762f5ed50a75,8910300000001597964,DATA,2023-05-26T02:48:42.000Z,2023-05-26T03:03:48.000Z,6477,,,,HND,Honduras,708,001,22,234104099118968,47772,CLIENTE B,
96c77ded-1660-42c4-859b-c5aba7b44cbd,8910300000001820553,DATA,2023-05-26T02:53:21.000Z,2023-05-26T03:04:43.000Z,4102,,,,HND,Honduras,708,001,22,234104099165477,47772,CLIENTE B,
100867b6-c549-467d-9009-1a94384de461,8910300000001597942,DATA,2023-05-26T01:10:05.000Z,2023-05-26T03:05:06.000Z,35784,,,,HND,Honduras,708,001,22,234104099118946,47772,CLIENTE B,
244b0dc4-e245-4e79-80ad-a7a11a71dc73,8910300000001597942,DATA,2023-05-26T03:04:09.000Z,2023-05-26T03:05:12.000Z,1573,,,,HND,Honduras,708,001,22,234104099118946,47772,CLIENTE B,
c39932ee-3283-4c3f-b6a7-4ee48e351205,8910300000001598493,DATA,2023-05-25T19:06:08.000Z,2023-05-26T03:06:09.000Z,41321,,,,HND,Honduras,708,001,22,234104099119497,47772,CLIENTE B,
ae99f192-41f6-4bb0-b80c-b54382e64da1,8910300000001598424,DATA,2023-05-26T03:03:45.000Z,2023-05-26T03:06:29.000Z,1441,,,,NIC,Nicaragua,710,300,22,234104099119428,47772,CLIENTE B,
8c1388bb-e638-46ff-ad0e-121daccc2a10,8910300000001598489,DATA,2023-05-25T19:06:43.000Z,2023-05-26T03:06:45.000Z,27949,,,,HND,Honduras,708,001,22,234104099119493,47772,CLIENTE B,
c4c86446-8b9f-43d6-92c6-a8ede29d904a,8910300000001820545,DATA,2023-05-26T02:40:27.000Z,2023-05-26T03:07:21.000Z,1251,,,,HND,Honduras,708,001,22,234104099165469,47772,CLIENTE B,
ad0dd669-6990-4e5e-b237-867e8ba3fe8c,8910300000001820535,DATA,2023-05-26T00:11:39.000Z,2023-05-26T03:07:23.000Z,17404,,,,HND,Honduras,708,001,22,234104099165459,47772,CLIENTE B,
00630b0e-1082-4b9b-9138-c8295475240c,8910300000001598563,DATA,2023-05-25T19:08:02.000Z,2023-05-26T03:08:03.000Z,18781,,,,HND,Honduras,708,001,22,234104099119567,47772,CLIENTE B,
118418d2-5324-48b7-b14a-46d9dfb7fc60,8910300000001597941,DATA,2023-05-26T03:00:59.000Z,2023-05-26T03:08:13.000Z,943,,,,HND,Honduras,708,001,22,234104099118945,47772,CLIENTE B,
53269edd-5893-4879-adca-668163df6697,8910300000001598396,DATA,2023-05-26T02:58:35.000Z,2023-05-26T03:08:15.000Z,5667,,,,HND,Honduras,708,001,22,234104099119400,47772,CLIENTE B,
c7a0ffe4-1a11-4bbb-8246-dc6336246b51,8910300000001820484,DATA,2023-05-25T19:08:52.000Z,2023-05-26T03:08:55.000Z,19162,,,,HND,Honduras,708,001,22,234104099165408,47772,CLIENTE B,
d14d47ee-595a-4ed0-bf7c-9f2b0e882cf1,8910300000002714758,DATA,2023-05-26T01:48:28.000Z,2023-05-26T03:08:54.000Z,19855,,,,HND,Honduras,708,02,21,732123201031645,47772,CLIENTE B,
d0ab3daf-9818-4feb-bb95-4e54e3151693,8910300000001597984,DATA,2023-05-26T03:05:17.000Z,2023-05-26T03:09:17.000Z,6133,,,,HND,Honduras,708,001,22,234104099118988,47772,CLIENTE B,
e54d07fe-c30c-4897-9ed1-4c879bbfb4ab,8910300000001598424,DATA,2023-05-26T03:06:30.000Z,2023-05-26T03:09:59.000Z,1245,,,,NIC,Nicaragua,710,300,22,234104099119428,47772,CLIENTE B,
a64f245c-5cda-49bf-97cc-8d76ff7a7cac,8910300000001820494,DATA,2023-05-26T03:01:55.000Z,2023-05-26T03:10:02.000Z,4107,,,,HND,Honduras,708,001,22,234104099165418,47772,CLIENTE B,
5e55a9dd-c5fd-49fa-b419-6daf9452f1cc,8910300000001597996,DATA,2023-05-26T02:57:30.000Z,2023-05-26T03:10:16.000Z,982,,,,HND,Honduras,708,001,22,234104099119000,47772,CLIENTE B,
3194d4cd-26c7-4eaa-9d35-8f9ebb90eca7,8910300000001597986,DATA,2023-05-26T03:03:16.000Z,2023-05-26T03:10:29.000Z,876,,,,HND,Honduras,708,001,22,234104099118990,47772,CLIENTE B,
22d52fc9-bec6-4181-a1d2-320ec3fbad54,8910300000001820508,DATA,2023-05-26T03:03:20.000Z,2023-05-26T03:10:34.000Z,1010,,,,HND,Honduras,708,001,22,234104099165432,47772,CLIENTE B,
1ca18a86-d325-40a6-b2e7-e63ac1838a4d,8910300000002714772,DATA,2023-05-25T21:04:55.000Z,2023-05-26T03:10:37.000Z,31161,,,,HND,Honduras,708,02,21,732123201031659,47772,CLIENTE B,
